Latitude,Longitude,OBJECTID,PONTO_RECOLHA_FREGUESIA,PONTO_RECOLHA_LOCAL,CONTENTOR_RESiDUO,CONTENTOR_TIPO,CONTENTOR_CAPACIDADE,CONTENTOR_QT,CONTENTOR_TOTAL_LITROS
-9.14857178,38.70872672,424,Misericordia,15820: R da Boavista (Ambos (->)(34->84): Tv Marquês de Sampaio - Bqr dos Ferreiros),Lixos,CV0240,240,2,480
-9.14857178,38.70872672,425,Misericordia,15820: R da Boavista (Ambos (->)(34->84): Tv Marquês de Sampaio - Bqr dos Ferreiros),Lixos,CV0090,90,1,90
-9.149113446,38.7088211,426,Misericordia,15821: R da Boavista (Ambos (45->49)(86->90): Bqr dos Ferreiros - Tv Marquês de Sampaio),Lixos,CV0140,140,2,280
-9.149113446,38.7088211,427,Misericordia,15821: R da Boavista (Ambos (45->49)(86->90): Bqr dos Ferreiros - Tv Marquês de Sampaio),Lixos,CV0240,240,2,480
-9.149113446,38.7088211,428,Misericordia,15821: R da Boavista (Ambos (45->49)(86->90): Bqr dos Ferreiros - Tv Marquês de Sampaio),Lixos,CV0090,90,1,90
-9.149493546,38.70887183,429,Misericordia,"15822: R da Boavista (Ambos (51->67)(96->118): Tv Marquês de Sampaio - Pto Galega (Rua da Boavista, 118))",Lixos,CV0090,90,2,180
-9.149493546,38.70887183,430,Misericordia,"15822: R da Boavista (Ambos (51->67)(96->118): Tv Marquês de Sampaio - Pto Galega (Rua da Boavista, 118))",Lixos,CV0120,120,1,120
-9.149493546,38.70887183,431,Misericordia,"15822: R da Boavista (Ambos (51->67)(96->118): Tv Marquês de Sampaio - Pto Galega (Rua da Boavista, 118))",Lixos,CV0140,140,1,140
-9.149493546,38.70887183,432,Misericordia,"15822: R da Boavista (Ambos (51->67)(96->118): Tv Marquês de Sampaio - Pto Galega (Rua da Boavista, 118))",Lixos,CV0240,240,3,720
-9.150183884,38.70891086,433,Misericordia,"15823: R da Boavista (Ambos (69->83)(120->176): Pto Galega (Rua da Boavista, 118) - R Instituto Industrial)",Lixos,CV0140,140,12,1680
-9.150183884,38.70891086,434,Misericordia,"15823: R da Boavista (Ambos (69->83)(120->176): Pto Galega (Rua da Boavista, 118) - R Instituto Industrial)",Lixos,CV0090,90,3,270
-9.150183884,38.70891086,435,Misericordia,"15823: R da Boavista (Ambos (69->83)(120->176): Pto Galega (Rua da Boavista, 118) - R Instituto Industrial)",Lixos,CV0240,240,13,3120
-9.150183884,38.70891086,436,Misericordia,"15823: R da Boavista (Ambos (69->83)(120->176): Pto Galega (Rua da Boavista, 118) - R Instituto Industrial)",Lixos,CV0120,120,1,120
-9.150793117,38.70890555,437,Misericordia,15824: R da Boavista (Ambos (->93)(180->186): R Instituto Industrial - Lg Conde-Barao),Lixos,CV0140,140,2,280
-9.150793117,38.70890555,438,Misericordia,15824: R da Boavista (Ambos (->93)(180->186): R Instituto Industrial - Lg Conde-Barao),Lixos,CV0120,120,1,120
-9.150793117,38.70890555,439,Misericordia,15824: R da Boavista (Ambos (->93)(180->186): R Instituto Industrial - Lg Conde-Barao),Lixos,CV0090,90,1,90
-9.152060348,38.70828196,440,Misericordia,15825: Tv do Cais do Tojo (Ambos (->)(->): R Cais do Tojo - R Cais do Tojo),Lixos,CV0140,140,1,140
